Customer ID,Monetary,Frequency,Recency,R_Score,F_Score,M_Score,RFM_Score,RFM_Segment,KMeans_Cluster,Hierarchical_Cluster
44,69,1,22.243576081791517,3,1,4,314,Potential Loyalists,2,2
45,53,1,28.37485645181152,2,1,3,213,Lost Customers,1,1
46,21,1,69.39192271030099,1,1,1,111,Lost Customers,0,0
47,43,1,11.095895472142496,4,1,2,412,New Customers,1,1
48,54,1,110.54509076586386,1,1,3,113,Lost Customers,0,0
49,55,1,39.856297993186054,2,1,3,213,Lost Customers,1,0
50,30,1,1.7981955763481339,5,1,1,511,New Customers,1,1
51,28,1,20.600505663848445,3,1,1,311,Others,1,1
52,59,1,13.624184698630033,4,1,3,413,New Customers,1,1
53,20,1,32.82687903110612,2,1,1,211,Lost Customers,1,1
54,24,1,21.796458798825125,3,1,1,311,Others,1,1
55,94,1,19.882082389765337,3,1,5,315,Potential Loyalists,2,2
56,28,1,15.429952184450674,3,1,1,311,Others,1,1
57,73,1,13.55985191270035,4,1,4,414,New Customers,2,2
58,64,1,28.487626830312248,2,1,3,213,Lost Customers,2,0
59,54,1,28.641873321050085,2,1,3,213,Lost Customers,1,1
60,79,1,54.07700199794225,1,1,4,114,Lost Customers,0,0
61,37,1,72.43064015401191,1,1,2,112,Lost Customers,0,0
62,68,1,58.73393078951381,1,1,3,113,Lost Customers,0,0
63,21,1,20.713726669456406,3,1,1,311,Others,1,1
64,79,1,85.0562384492525,1,1,4,114,Lost Customers,0,0
65,83,1,61.30452638831694,1,1,4,114,Lost Customers,0,0
66,36,1,17.065927830726935,3,1,2,312,Others,1,1
67,94,1,9.826327848016238,4,1,5,415,New Customers,2,2
68,33,1,18.63727616654617,3,1,1,311,Others,1,1
69,46,1,82.44129931841942,1,1,2,112,Lost Customers,0,0
70,70,1,6.863316510076339,4,1,4,414,New Customers,2,2
71,29,1,67.73356724244125,1,1,1,111,Lost Customers,0,0
72,48,1,13.34522163539974,4,1,2,412,New Customers,1,1
73,26,1,14.092353201796556,4,1,1,411,New Customers,1,1
74,85,1,34.36428002684953,2,1,5,215,Lost Customers,2,0
75,58,1,9.448971570052738,4,1,3,413,New Customers,1,1
76,85,1,36.42014563739275,2,1,5,215,Lost Customers,2,0
77,43,1,30.10998861918469,2,1,2,212,Lost Customers,1,1
78,53,1,42.28657951463868,2,1,3,213,Lost Customers,1,0
79,91,1,17.25116303754656,3,1,5,315,Potential Loyalists,2,2
80,96,1,49.9302998962724,1,1,5,115,Lost Customers,2,0
81,72,1,1.2339665380257434,5,1,4,514,New Customers,2,2
82,96,1,7.076644300002753,4,1,5,415,New Customers,2,2
83,28,1,19.791820050258096,3,1,1,311,Others,1,1
84,40,1,1.1086557452169865,5,1,2,512,New Customers,1,1
85,32,1,84.66115307113073,1,1,1,111,Lost Customers,0,0
86,95,1,5.650652858860149,5,1,5,515,New Customers,2,2
87,41,1,8.548549425654343,4,1,2,412,New Customers,1,1
88,53,1,42.66380141842616,2,1,3,213,Lost Customers,1,0
89,47,1,20.434098933713592,3,1,2,312,Others,1,1
90,83,1,29.399244705258283,2,1,4,214,Lost Customers,2,0
91,48,1,92.15103190027209,1,1,2,112,Lost Customers,0,0
92,99,1,71.60945536393288,1,1,5,115,Lost Customers,0,0
93,87,1,22.193379179790067,3,1,5,315,Potential Loyalists,2,2
94,62,1,18.41672412348783,3,1,3,313,Potential Loyalists,2,2
95,76,1,23.041769755933196,3,1,4,314,Potential Loyalists,2,2
96,100,1,7.53348079159703,4,1,5,415,New Customers,2,2
97,73,1,0.07517537669894624,5,1,4,514,New Customers,2,2
98,92,1,46.17236664671741,2,1,5,215,Lost Customers,2,0
99,67,1,13.078157710665776,4,1,3,413,New Customers,2,2
100,40,1,25.186444786513533,3,1,2,312,Others,1,1
101,98,1,8.839430584522287,4,1,5,415,New Customers,2,2
102,85,1,87.86216357118327,1,1,5,115,Lost Customers,0,0
103,67,1,13.351030440153723,4,1,3,413,New Customers,2,2
104,89,1,7.596232818937859,4,1,5,415,New Customers,2,2
105,24,1,33.391564446091344,2,1,1,211,Lost Customers,1,1
106,96,1,53.645412484603646,1,1,5,115,Lost Customers,2,0
107,35,1,8.929345378730595,4,1,1,411,New Customers,1,1
108,67,1,14.292640506650162,4,1,3,413,New Customers,2,2
109,79,1,3.058948139351665,5,1,4,514,New Customers,2,2
110,85,1,19.825469933216443,3,1,5,315,Potential Loyalists,2,2
111,26,1,84.84137547600997,1,1,1,111,Lost Customers,0,0
112,75,1,34.616620718815746,2,1,4,214,Lost Customers,2,2
113,65,1,32.66436993376368,2,1,3,213,Lost Customers,2,0
114,54,1,5.880278614559386,5,1,3,513,New Customers,1,1
115,95,1,12.798323472823602,4,1,5,415,New Customers,2,2
116,94,1,71.36281513982868,1,1,5,115,Lost Customers,0,0
117,86,1,22.27494396240489,3,1,5,315,Potential Loyalists,2,2
118,32,1,3.077480885902946,5,1,1,511,New Customers,1,1
119,45,1,44.54345515087556,2,1,2,212,Lost Customers,1,0
120,76,1,12.342850550979845,4,1,4,414,New Customers,2,2
121,84,1,39.78828234688274,2,1,4,214,Lost Customers,2,0
122,72,1,11.540612343966748,4,1,4,414,New Customers,2,2
123,40,1,59.26782037000869,1,1,2,112,Lost Customers,0,0
124,89,1,17.566963052200993,3,1,5,315,Potential Loyalists,2,2
125,86,1,0.5157376556698314,5,1,5,515,New Customers,2,2
126,54,1,2.4947099897757843,5,1,3,513,New Customers,1,1
127,36,1,20.489052101274545,3,1,2,312,Others,1,1
128,89,1,4.506330002527268,5,1,5,515,New Customers,2,2
129,32,1,14.668691620139377,4,1,1,411,New Customers,1,1
130,67,1,56.77881744094234,1,1,3,113,Lost Customers,0,0
131,39,1,20.353260720803927,3,1,2,312,Others,1,1
132,29,1,16.070811834431368,3,1,1,311,Others,1,1
133,58,1,90.04584490490656,1,1,3,113,Lost Customers,0,0
134,65,1,28.44320317546591,2,1,3,213,Lost Customers,2,0
135,94,1,38.526619177559795,2,1,5,215,Lost Customers,2,0
136,81,1,10.033105622786893,4,1,4,414,New Customers,2,2
137,86,1,36.14841176667673,2,1,5,215,Lost Customers,2,0
138,43,1,25.406776565007913,3,1,2,312,Others,1,1
139,29,1,7.277910696241751,4,1,1,411,New Customers,1,1
140,95,1,32.261740071820945,2,1,5,215,Lost Customers,2,0
141,28,1,6.351603891709704,5,1,1,511,New Customers,1,1
142,46,1,9.450200393948148,4,1,2,412,New Customers,1,1
143,58,1,23.990636903978025,3,1,3,313,Potential Loyalists,1,1
144,48,1,27.5769637044449,2,1,2,212,Lost Customers,1,1
145,43,1,29.347256167190682,2,1,2,212,Lost Customers,1,1
146,95,1,102.78338879371123,1,1,5,115,Lost Customers,0,0
147,30,1,60.21019199096986,1,1,1,111,Lost Customers,0,0
148,64,1,22.93138112829474,3,1,3,313,Potential Loyalists,2,2
149,90,1,16.958199808176825,3,1,5,315,Potential Loyalists,2,2
150,76,1,6.009171182726168,5,1,4,514,New Customers,2,2
151,96,1,40.634389865506805,2,1,5,215,Lost Customers,2,0
152,47,1,0.10946817983140056,5,1,2,512,New Customers,1,1
153,85,1,71.5433593834211,1,1,5,115,Lost Customers,0,0
154,55,1,24.103738237688606,3,1,3,313,Potential Loyalists,1,1
155,98,1,19.795021308539663,3,1,5,315,Potential Loyalists,2,2
156,77,1,48.41467978930979,1,1,4,114,Lost Customers,0,0
157,26,1,3.5719086826757303,5,1,1,511,New Customers,1,1
158,68,1,39.82983950673907,2,1,3,213,Lost Customers,2,0
159,73,1,136.07683707957497,1,1,4,114,Lost Customers,0,0
160,27,1,15.675039800066852,3,1,1,311,Others,1,1
161,23,1,12.741337327598453,4,1,1,411,New Customers,1,1
162,49,1,189.59330595567707,1,1,2,112,Lost Customers,0,0
163,74,1,4.4732984855531,5,1,4,514,New Customers,2,2
164,67,1,15.771901937566549,3,1,3,313,Potential Loyalists,2,2
165,65,1,25.19220763873233,3,1,3,313,Potential Loyalists,2,0
166,60,1,0.4613277898815469,5,1,3,513,New Customers,2,1
167,31,1,0.9430109363408092,5,1,1,511,New Customers,1,1
168,27,1,0.6149384977696445,5,1,1,511,New Customers,1,1
169,80,1,39.10690389132315,2,1,4,214,Lost Customers,2,0
170,30,1,0.9586054420454062,5,1,1,511,New Customers,1,1
171,25,1,5.540941945830957,5,1,1,511,New Customers,1,1
172,35,1,71.87655066066407,1,1,1,111,Lost Customers,0,0
173,67,1,3.2099427167553847,5,1,3,513,New Customers,2,2
174,46,1,10.78195944685001,4,1,2,412,New Customers,1,1
175,35,1,53.687908339694545,1,1,1,111,Lost Customers,0,0
176,86,1,0.9816668973867395,5,1,5,515,New Customers,2,2
177,81,1,33.855294872773364,2,1,4,214,Lost Customers,2,0
178,42,1,27.020643424403445,3,1,2,312,Others,1,1
179,43,1,109.20038168495438,1,1,2,112,Lost Customers,0,0
180,31,1,66.36483793229192,1,1,1,111,Lost Customers,0,0
181,81,1,1.0228279980544055,5,1,4,514,New Customers,2,2
182,61,1,18.531526773146123,3,1,3,313,Potential Loyalists,2,2
183,96,1,71.43141057573858,1,1,5,115,Lost Customers,0,0
184,29,1,21.430513998418007,3,1,1,311,Others,1,1
185,33,1,28.773038341125222,2,1,1,211,Lost Customers,1,1
186,32,1,9.220717869297877,4,1,1,411,New Customers,1,1
187,56,1,10.70235191645413,4,1,3,413,New Customers,1,1
188,94,1,85.39023769824713,1,1,5,115,Lost Customers,0,0
189,53,1,3.627142712873015,5,1,3,513,New Customers,1,1
190,82,1,35.96368682207327,2,1,4,214,Lost Customers,2,0
191,70,1,8.872338461522611,4,1,4,414,New Customers,2,2
192,76,1,105.16402687108142,1,1,4,114,Lost Customers,0,0
193,29,1,22.74863345509026,3,1,1,311,Others,1,1
194,100,1,35.451572745389214,2,1,5,215,Lost Customers,2,0
195,94,1,50.32931399483973,1,1,5,115,Lost Customers,2,0
196,25,1,23.215875858850314,3,1,1,311,Others,1,1
197,88,1,0.9716345204796115,5,1,5,515,New Customers,2,2
198,78,1,15.725751626213135,3,1,4,314,Potential Loyalists,2,2
199,45,1,4.282837769826425,5,1,2,512,New Customers,1,1
200,73,1,20.71277926192292,3,1,4,314,Potential Loyalists,2,2
201,61,1,5.001423660535886,5,1,3,513,New Customers,2,1
202,22,1,73.99383526015994,1,1,1,111,Lost Customers,0,0
203,38,1,0.523847617553129,5,1,2,512,New Customers,1,1
204,38,1,8.408715278280848,4,1,2,412,New Customers,1,1
205,100,1,2.921291188845909,5,1,5,515,New Customers,2,2
206,64,1,48.08147124149512,1,1,3,113,Lost Customers,0,0
207,55,1,27.13907495923038,3,1,3,313,Potential Loyalists,1,1
208,91,1,20.28153295963582,3,1,5,315,Potential Loyalists,2,2
209,38,1,19.25733301105141,3,1,2,312,Others,1,1
210,97,1,7.942555135560758,4,1,5,415,New Customers,2,2
211,22,1,40.01725199348077,2,1,1,211,Lost Customers,1,0
212,92,1,12.70551066458354,4,1,5,415,New Customers,2,2
213,84,1,35.716173638579605,2,1,4,214,Lost Customers,2,0
214,93,1,33.14990627332363,2,1,5,215,Lost Customers,2,0
215,50,1,1.8545672875990276,5,1,2,512,New Customers,1,1
216,64,1,2.0215359825185044,5,1,3,513,New Customers,2,2
217,61,1,71.28850467772044,1,1,3,113,Lost Customers,0,0
218,48,1,3.3631280196123545,5,1,2,512,New Customers,1,1
219,45,1,43.568367285050876,2,1,2,212,Lost Customers,1,0
220,88,1,46.22876428647578,2,1,5,215,Lost Customers,2,0
221,57,1,16.48199576248084,3,1,3,313,Potential Loyalists,1,1
222,68,1,1.9267679996422802,5,1,3,513,New Customers,2,2
223,94,1,46.1274638011859,2,1,5,215,Lost Customers,2,0
224,41,1,12.73784859498163,4,1,2,412,New Customers,1,1
225,83,1,1.2668065014776755,5,1,4,514,New Customers,2,2
226,22,1,36.670739857219665,2,1,1,211,Lost Customers,1,0
227,74,1,22.77266556520484,3,1,4,314,Potential Loyalists,2,2
228,90,1,48.482130146813184,1,1,5,115,Lost Customers,2,0
229,79,1,5.238051729202323,5,1,4,514,New Customers,2,2
230,28,1,17.15456014293709,3,1,1,311,Others,1,1
231,88,1,11.466317940930637,4,1,5,415,New Customers,2,2
232,26,1,15.649012483176618,3,1,1,311,Others,1,1
233,27,1,3.0596182759970123,5,1,1,511,New Customers,1,1
234,83,1,2.9324521098807246,5,1,4,514,New Customers,2,2
235,39,1,13.279738724684185,4,1,2,412,New Customers,1,1
236,89,1,79.41550097887371,1,1,5,115,Lost Customers,0,0
237,68,1,14.12601254897776,4,1,3,413,New Customers,2,2
238,90,1,18.242892895743292,3,1,5,315,Potential Loyalists,2,2
239,34,1,55.55417635805357,1,1,1,111,Lost Customers,0,0
240,51,1,14.125721439287775,4,1,2,412,New Customers,1,1
241,45,1,0.5158765769476462,5,1,2,512,New Customers,1,1
242,88,1,12.602383095900874,4,1,5,415,New Customers,2,2
243,85,1,15.669944161532527,3,1,5,315,Potential Loyalists,2,2
244,100,1,0.8170088448436229,5,1,5,515,New Customers,2,2
245,42,1,0.8117262039593339,5,1,2,512,New Customers,1,1
246,53,1,25.419064954551732,3,1,3,313,Potential Loyalists,1,1
247,86,1,17.865388730813923,3,1,5,315,Potential Loyalists,2,2
248,66,1,29.157385613004077,2,1,3,213,Lost Customers,2,0
249,100,1,11.6630875389986,4,1,5,415,New Customers,2,2
250,47,1,9.45541432578496,4,1,2,412,New Customers,1,1
251,25,1,31.983667419136125,2,1,1,211,Lost Customers,1,1
252,51,1,11.458200873774755,4,1,2,412,New Customers,1,1
253,41,1,40.589393033389584,2,1,2,212,Lost Customers,1,0
254,73,1,52.992276151816725,1,1,4,114,Lost Customers,0,0
255,42,1,31.934738334755806,2,1,2,212,Lost Customers,1,1
256,20,1,9.138385525589193,4,1,1,411,New Customers,1,1
257,30,1,44.04026389360722,2,1,1,211,Lost Customers,1,0
258,53,1,25.43168859562077,3,1,3,313,Potential Loyalists,1,1
259,74,1,0.5714449900089094,5,1,4,514,New Customers,2,2
260,57,1,7.912455127101026,4,1,3,413,New Customers,1,1
261,57,1,33.26030166939927,2,1,3,213,Lost Customers,1,0
262,77,1,98.64523115733154,1,1,4,114,Lost Customers,0,0
263,40,1,24.282426264176014,3,1,2,312,Others,1,1
264,46,1,51.14958289565863,1,1,2,112,Lost Customers,0,0
265,78,1,52.73421985141493,1,1,4,114,Lost Customers,0,0
266,59,1,45.085794910748305,2,1,3,213,Lost Customers,0,0
267,75,1,38.47234125118243,2,1,4,214,Lost Customers,2,0
268,54,1,58.41043660415926,1,1,3,113,Lost Customers,0,0
269,42,1,3.6498928333260294,5,1,2,512,New Customers,1,1
270,44,1,0.8397870370606537,5,1,2,512,New Customers,1,1
271,52,1,1.9073013185279466,5,1,3,513,New Customers,1,1
272,69,1,9.894607113996269,4,1,4,414,New Customers,2,2
273,26,1,71.85740623969205,1,1,1,111,Lost Customers,0,0
274,33,1,35.24382872998513,2,1,1,211,Lost Customers,1,1
275,32,1,9.621546832685933,4,1,1,411,New Customers,1,1
276,85,1,63.772024443873455,1,1,5,115,Lost Customers,0,0
277,30,1,9.846139806215039,4,1,1,411,New Customers,1,1
278,29,1,42.45558495935834,2,1,1,211,Lost Customers,1,0
279,95,1,23.360312379961474,3,1,5,315,Potential Loyalists,2,0
280,69,1,16.219932303704038,3,1,4,314,Potential Loyalists,2,2
281,69,1,52.23319529209219,1,1,4,114,Lost Customers,0,0
282,61,1,21.219782950519672,3,1,3,313,Potential Loyalists,2,2
283,94,1,92.21379347363668,1,1,5,115,Lost Customers,0,0
284,30,1,48.86255042786314,1,1,1,111,Lost Customers,1,0
285,45,1,8.093629229204266,4,1,2,412,New Customers,1,1
286,39,1,39.60047481650149,2,1,2,212,Lost Customers,1,0
287,51,1,12.521507560951141,4,1,2,412,New Customers,1,1
288,37,1,2.6457349356060815,5,1,2,512,New Customers,1,1
289,62,1,11.873778271939889,4,1,3,413,New Customers,2,2
290,85,1,30.902146937027286,2,1,5,215,Lost Customers,2,0
291,33,1,23.13367732771837,3,1,1,311,Others,1,1
292,26,1,23.550628314595613,3,1,1,311,Others,1,1
293,99,1,11.912638108862422,4,1,5,415,New Customers,2,2
294,39,1,33.67513968038179,2,1,2,212,Lost Customers,1,1
295,20,1,1.4278976341737624,5,1,1,511,New Customers,1,1
296,42,1,7.18383711495154,4,1,2,412,New Customers,1,1
297,74,1,128.63960167009392,1,1,4,114,Lost Customers,0,0
298,26,1,23.13360759547811,3,1,1,311,Others,1,1
299,53,1,47.071382648344716,2,1,3,213,Lost Customers,0,0
300,80,1,25.691495024777396,3,1,4,314,Potential Loyalists,2,2
301,98,1,27.49664280574196,2,1,5,215,Lost Customers,2,0
302,95,1,25.785741082783282,3,1,5,315,Potential Loyalists,2,0
303,44,1,26.94733326989212,3,1,2,312,Others,1,1
304,60,1,4.621097585228666,5,1,3,513,New Customers,2,1
305,84,1,40.74053944803259,2,1,4,214,Lost Customers,2,0
306,59,1,15.374167876391766,3,1,3,313,Potential Loyalists,1,1
307,49,1,37.040236117318685,2,1,2,212,Lost Customers,1,0
308,32,1,37.7922432004475,2,1,1,211,Lost Customers,1,0
309,29,1,15.265861803584492,3,1,1,311,Others,1,1
310,22,1,24.693783951391044,3,1,1,311,Others,1,1
311,85,1,55.227689007923864,1,1,5,115,Lost Customers,0,0
312,52,1,27.130327531138562,3,1,3,313,Potential Loyalists,1,1
313,89,1,31.88894897054701,2,1,5,215,Lost Customers,2,0
314,77,1,4.937203022842072,5,1,4,514,New Customers,2,2
315,24,1,21.472001558274535,3,1,1,311,Others,1,1
316,24,1,42.21628025931045,2,1,1,211,Lost Customers,1,0
317,22,1,3.1950767862804677,5,1,1,511,New Customers,1,1
318,82,1,27.44493087550364,3,1,4,314,Potential Loyalists,2,0
319,67,1,0.6205457630360798,5,1,3,513,New Customers,2,2
320,74,1,4.669233843980687,5,1,4,514,New Customers,2,2
321,72,1,87.12006854546904,1,1,4,114,Lost Customers,0,0
322,36,1,88.6021501222538,1,1,2,112,Lost Customers,0,0
323,95,1,28.38873722341222,2,1,5,215,Lost Customers,2,0
324,78,1,7.500774416102443,4,1,4,414,New Customers,2,2
325,82,1,50.873452477751954,1,1,4,114,Lost Customers,0,0
326,70,1,15.418560103653698,3,1,4,314,Potential Loyalists,2,2
327,41,1,4.528343526651104,5,1,2,512,New Customers,1,1
328,42,1,4.118248414595287,5,1,2,512,New Customers,1,1
329,50,1,20.438755606604374,3,1,2,312,Others,1,1
330,31,1,0.07975760382180082,5,1,1,511,New Customers,1,1
331,51,1,34.705454010148806,2,1,2,212,Lost Customers,1,0
332,98,1,114.17442403826774,1,1,5,115,Lost Customers,0,0
333,86,1,36.75117200001679,2,1,5,215,Lost Customers,2,0
334,64,1,15.797547461944303,3,1,3,313,Potential Loyalists,2,2
335,46,1,0.9687759248300859,5,1,2,512,New Customers,1,1
336,85,1,7.509193959757666,4,1,5,415,New Customers,2,2
337,81,1,19.565437301312087,3,1,4,314,Potential Loyalists,2,2
338,59,1,26.426514518646876,3,1,3,313,Potential Loyalists,1,1
339,79,1,14.147532291095136,4,1,4,414,New Customers,2,2
340,33,1,4.801377024564269,5,1,1,511,New Customers,1,1
341,47,1,7.325254455483423,4,1,2,412,New Customers,1,1
342,20,1,96.16070653612907,1,1,1,111,Lost Customers,0,0
343,36,1,14.678629325010226,4,1,2,412,New Customers,1,1
344,39,1,8.0282585216817,4,1,2,412,New Customers,1,1
345,71,1,76.80230316578864,1,1,4,114,Lost Customers,0,0
346,59,1,21.615357298598372,3,1,3,313,Potential Loyalists,1,1
347,50,1,16.19924990846343,3,1,2,312,Others,1,1
348,41,1,44.611686723671106,2,1,2,212,Lost Customers,1,0
349,59,1,4.594233966285931,5,1,3,513,New Customers,1,1
350,87,1,30.338692667736737,2,1,5,215,Lost Customers,2,0
351,68,1,6.167988565518761,5,1,3,513,New Customers,2,2
352,90,1,15.553438642603709,3,1,5,315,Potential Loyalists,2,2
353,71,1,20.45797781329128,3,1,4,314,Potential Loyalists,2,2
354,64,1,76.3413902493723,1,1,3,113,Lost Customers,0,0
355,76,1,6.254926760907771,5,1,4,514,New Customers,2,2
356,42,1,66.77417622165285,1,1,2,112,Lost Customers,0,0
357,80,1,38.97470069971234,2,1,4,214,Lost Customers,2,0
358,56,1,20.995895324165183,3,1,3,313,Potential Loyalists,1,1
359,25,1,43.33936250914725,2,1,1,211,Lost Customers,1,0
360,74,1,10.65884692337414,4,1,4,414,New Customers,2,2
361,30,1,25.38138331730145,3,1,1,311,Others,1,1
362,96,1,25.21017075981742,3,1,5,315,Potential Loyalists,2,0
363,64,1,34.823841535415745,2,1,3,213,Lost Customers,2,0
364,88,1,7.109067541688253,4,1,5,415,New Customers,2,2
365,88,1,79.29412687980656,1,1,5,115,Lost Customers,0,0
366,88,1,21.56787809391501,3,1,5,315,Potential Loyalists,2,2
367,36,1,13.423260455392132,4,1,2,412,New Customers,1,1
368,40,1,1.9007582917485775,5,1,2,512,New Customers,1,1
369,39,1,18.324544121782907,3,1,2,312,Others,1,1
370,40,1,11.511021158910667,4,1,2,412,New Customers,1,1
371,34,1,1.0706391384447862,5,1,1,511,New Customers,1,1
372,83,1,20.115590998024008,3,1,4,314,Potential Loyalists,2,2
373,85,1,1.4966361841578577,5,1,5,515,New Customers,2,2
374,27,1,7.889587101138912,4,1,1,411,New Customers,1,1
375,78,1,32.32773335932258,2,1,4,214,Lost Customers,2,2
376,32,1,7.98866183286263,4,1,1,411,New Customers,1,1
377,51,1,19.832131948912984,3,1,2,312,Others,1,1
378,32,1,13.772982205727654,4,1,1,411,New Customers,1,1
379,62,1,37.431275489033425,2,1,3,213,Lost Customers,2,0
380,29,1,25.441500003828782,3,1,1,311,Others,1,1
381,69,1,49.78051325803054,1,1,4,114,Lost Customers,0,0
382,25,1,8.696112387348258,4,1,1,411,New Customers,1,1
383,76,1,1.9410486717983257,5,1,4,514,New Customers,2,2
384,77,1,77.54617982463436,1,1,4,114,Lost Customers,0,0
385,33,1,8.908248813964692,4,1,1,411,New Customers,1,1
386,93,1,95.81162749465048,1,1,5,115,Lost Customers,0,0
387,39,1,8.708488126758063,4,1,2,412,New Customers,1,1
388,93,1,37.317516239786,2,1,5,215,Lost Customers,2,0
389,82,1,61.281481045296445,1,1,4,114,Lost Customers,0,0
390,42,1,18.748055084433563,3,1,2,312,Others,1,1
391,71,1,10.112799413213438,4,1,4,414,New Customers,2,2
392,86,1,10.762437313184561,4,1,5,415,New Customers,2,2
393,82,1,0.5883589171470015,5,1,4,514,New Customers,2,2
394,65,1,57.34451825168095,1,1,3,113,Lost Customers,0,0
395,29,1,20.328613437454454,3,1,1,311,Others,1,1
396,65,1,1.790018420279143,5,1,3,513,New Customers,2,2
397,88,1,57.72001451966589,1,1,5,115,Lost Customers,0,0
398,46,1,26.358691651796747,3,1,2,312,Others,1,1
399,67,1,1.2813695132675542,5,1,3,513,New Customers,2,2
400,35,1,10.596000554962574,4,1,1,411,New Customers,1,1
401,66,1,53.145703838112745,1,1,3,113,Lost Customers,0,0
402,91,1,68.52291270721402,1,1,5,115,Lost Customers,0,0
403,78,1,118.99659625662494,1,1,4,114,Lost Customers,0,0
404,45,1,1.6440326560888003,5,1,2,512,New Customers,1,1
405,93,1,10.81577132428335,4,1,5,415,New Customers,2,2
406,74,1,23.33179708202409,3,1,4,314,Potential Loyalists,2,2
407,55,1,82.93401432630205,1,1,3,113,Lost Customers,0,0
408,76,1,5.745827205965481,5,1,4,514,New Customers,2,2
409,66,1,18.109897788500348,3,1,3,313,Potential Loyalists,2,2
410,51,1,23.796966321840326,3,1,2,312,Others,1,1
411,26,1,15.867538922308048,3,1,1,311,Others,1,1
412,29,1,29.9733370448509,2,1,1,211,Lost Customers,1,1
413,74,1,14.837320015319452,3,1,4,314,Potential Loyalists,2,2
414,99,1,60.57638006487836,1,1,5,115,Lost Customers,0,0
415,88,1,40.878963263537955,2,1,5,215,Lost Customers,2,0
416,31,1,20.82431969573412,3,1,1,311,Others,1,1
417,55,1,78.91996131269077,1,1,3,113,Lost Customers,0,0
418,81,1,5.676351919011209,5,1,4,514,New Customers,2,2
419,73,1,75.43388341015573,1,1,4,114,Lost Customers,0,0
420,91,1,14.851425829257266,3,1,5,315,Potential Loyalists,2,2
421,54,1,38.19645665980164,2,1,3,213,Lost Customers,1,0
422,40,1,68.34640240554428,1,1,2,112,Lost Customers,0,0
423,59,1,19.955925420233946,3,1,3,313,Potential Loyalists,1,2
424,26,1,3.558042581891807,5,1,1,511,New Customers,1,1
425,23,1,41.84171313471763,2,1,1,211,Lost Customers,1,0
426,87,1,6.15211857222143,5,1,5,515,New Customers,2,2
427,71,1,51.75040349281558,1,1,4,114,Lost Customers,0,0
428,91,1,0.9297661282165639,5,1,5,515,New Customers,2,2
429,64,1,23.755165771896763,3,1,3,313,Potential Loyalists,2,2
430,94,1,30.006122519168375,2,1,5,215,Lost Customers,2,0
